ENTIDAD FEDERATIVA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2022_porcentaje,acumulado,acumulado_porcentaje
total,"13,960.3","18,248.7","30,057.2","24,099.2","18,250.0","25,014.1","25,795.6","21,232.4","32,393.2","29,502.2","17,849.7","27,189.3","25,632.4","21,769.3","48,354.4","30,351.1","35,943.8","31,187.8","34,012.4","34,097.2","34,567.0","28,195.1","31,543.5","35,291.60",100.00,"674,537.7",100.0
Ciudad de México,"3,640.5","5,311.4","10,219.5","6,504.4","3,521.4","5,573.0","5,984.3","5,671.1","6,931.5","7,724.1","5,254.6","4,064.6","7,507.6","1,337.5","5,835.3","6,126.8","5,909.1","6,750.1","5,104.6","5,836.1","8,738.2","6,990.9","5,478.6","10,923.30",31.00,"146,938.3",21.8
Nuevo León,"1,767.7","2,283.6","3,106.0","2,583.4","2,331.8","1,408.5","4,835.9","1,727.2","3,593.2","1,670.9",952.6,"4,841.9","1,679.2","1,281.1","2,214.6","1,578.7","3,362.5","3,346.0","1,996.2","3,675.7","3,274.6","3,142.6","3,288.8","4,397.30",12.50,"64,340.0",9.5
Estado de México,"1,129.5","1,312.4","2,356.0","1,934.0","1,493.5","3,935.6","2,560.5","2,403.1","2,220.9","2,345.9","1,592.4","2,028.4","2,712.1","3,119.6","4,608.4","3,581.4","2,959.7","2,407.8","3,761.2","2,333.8","2,932.8","2,385.3","1,535.4","1,805.90",5.10,"59,455.4",8.8
Jalisco,766.8,"1,404.4","1,736.1","1,170.8","1,258.7","1,422.2",827.8,992.7,"1,837.7","1,040.7","1,005.7","2,210.3","1,036.3","1,415.3","2,937.9","1,684.6","3,138.4","2,102.3","1,552.9","1,014.8","1,568.2","2,134.0","2,141.3","2,894.90",8.20,"39,294.8",5.8
Chihuahua,635.0,"1,387.4","1,076.4","1,362.7","1,120.0","1,459.5","1,692.0","1,948.8","2,267.2","2,625.2","1,424.7","1,847.8","1,218.1","1,186.9","2,311.4","1,936.6","2,524.5","1,986.1","1,825.3","1,241.9","1,407.0",641.1,"1,907.6","1,875.90",5.30,"38,909.2",5.8
Baja California,"1,238.7","1,054.2","1,326.1","1,535.1","1,084.8","1,365.6","1,334.9","1,340.6","1,790.8","1,453.7",829.5,"1,414.8",766.3,"1,018.5","1,290.8","1,223.3","1,167.3","1,566.9","1,678.6","1,630.6","1,183.7","1,195.4","2,222.6","1,877.30",5.30,"32,590.3",4.8
Guanajuato,309.2,307.4,857.2,739.3,722.2,689.2,781.9,596.5,"1,092.0",751.8,508.6,399.3,"1,424.7","1,321.2","2,621.4","1,317.9","1,752.8","1,332.6","1,677.9","2,469.8",796.0,199.5,"1,799.3","1,564.50",4.40,"26,032.0",3.9
Coahuila de Zaragoza,481.7,511.2,"1,129.9",885.8,824.5,841.5,642.2,608.3,666.3,583.1,381.2,751.2,647.1,539.4,"1,804.6","1,625.5","1,367.2","1,209.6","2,672.5","3,290.2","1,492.1",852.1,"1,039.1",792.4,2.20,"25,638.6",3.8
Tamaulipas,582.6,"1,017.6",973.1,"1,097.1","1,011.5",785.7,967.8,854.1,877.4,932.4,603.2,"1,035.9",842.9,"1,051.4","1,732.4",723.9,"1,103.2","1,149.5","1,539.7","1,512.0","1,623.3",699.9,"1,273.2",982.5,2.8,"24,972.4",3.7
Querétaro,255.2,628.2,838.7,654.2,271.2,456.0,594.8,750.6,815.3,"1,071.5","1,131.6",852.0,"1,054.8",105.4,926.6,"1,128.7","1,442.5","1,074.3",986.0,"1,227.6","1,168.1",861.0,879.7,753.2,2.1,"19,927.1",3.0
"Veracruz de Ignacio de la
Llave",56.0,311.5,796.6,640.3,473.2,652.5,484.7,252.7,577.7,607.8,518.4,"1,230.8","1,189.1","1,061.3","1,702.8","1,271.3","1,589.1","1,045.5",914.9,962.1,"1,080.6","1,000.7",935.3,0.1,0,"19,355.1",2.9
Puebla,296.5,382.0,778.0,709.0,458.5,638.4,782.9,425.0,662.7,381.1,182.5,772.9,594.5,775.3,"1,504.5","1,057.2",791.5,"1,166.5",953.6,643.9,"2,044.0",583.0,627.8,798.1,2.3,"18,009.5",2.7
Sonora,321.4,651.1,513.8,671.1,586.3,"1,265.9",656.1,458.1,961.1,"1,577.0",358.1,"1,108.8",304.1,"1,172.9","2,088.7",815.3,610.0,506.2,368.1,155.1,449.6,582.3,899.2,458.9,1.3,"17,539.2",2.6
San Luis Potosí,255.4,312.3,429.5,265.3,444.8,292.2,462.4,198.7,523.9,460.7,85.0,473.5,268.3,880.3,"2,008.1","1,064.8","1,899.1",814.9,"1,405.9","1,766.4",853.8,913.2,702.3,376.4,1.1,"17,157.4",2.5
Zacatecas,30.6,47.2,62.0,210.0,119.2,233.8,-33.8,97.1,867.5,"1,836.5",301.5,381.9,466.7,754.4,"3,973.2",758.9,107.6,532.6,457.6,301.7,746.5,-405.5,"1,318.0",7.3,0,"13,172.6",2.0
Baja California Sur,135.1,173.5,243.1,330.8,149.5,227.8,741.0,591.6,819.3,810.1,449.5,517.6,711.2,720.6,421.3,228.7,352.0,510.8,568.9,443.1,465.0,607.8,"1,078.8",668.1,1.9,"11,965.3",1.8
Aguascalientes,818.8,288.2,254.6,115.2,119.8,441.5,133.9,140.6,410.6,337.5,342.2,333.2,236.8,355.2,69.1,978.8,812.6,594.9,"1,576.3","1,197.0",452.1,743.7,42.1,594.9,1.7,"11,389.5",1.7
Michoacán de Ocampo,25.5,28.3,319.0,204.6,134.8,368.0,248.0,63.4,"1,860.9",187.2,156.5,158.2,150.7,336.0,"2,247.7",211.5,419.0,193.9,294.7,437.1,298.0,272.8,"1,033.7",165.7,0.5,"9,815.1",1.5
Quintana Roo,133.4,201.4,411.3,246.5,273.5,271.2,351.8,411.8,"1,001.6",297.6,290.5,296.7,504.6,583.7,930.3,223.8,325.2,296.5,479.3,591.5,664.1,160.8,310.4,416.2,1.2,"9,673.7",1.4
Sinaloa,81.1,31.7,387.1,149.9,140.4,234.6,104.8,144.4,278.2,175.9,149.5,217.6,230.9,432.5,605.4,400.0,428.7,434.9,761.6,415.0,262.6,743.6,543.5,866.9,2.5,"8,220.8",1.2
Guerrero,36.0,49.8,216.7,302.3,159.6,219.9,237.1,164.0,112.4,574.9,136.0,139.6,241.8,164.3,"1,088.2",479.4,164.1,180.7,410.4,402.2,275.5,296.8,669.1,245.5,0.7,"6,966.3",1.0
Morelos,456.6,132.4,251.5,192.5,96.1,467.9,176.3,173.9,393.5,284.8,121.7,199.4,102.5,274.3,451.2,356.5,484.8,234.9,603.1,251.9,655.6,386.7,94.8,89.8,0.3,"6,932.4",1.0
Durango,166.1,131.6,288.9,172.5,306.4,-82.4,76.6,10.8,421.6,488.1,127.4,414.1,228.6,268.4,482.5,155.9,231.1,275.9,131.1,391.1,178.5,496.5,461.8,565.5,1.6,"6,388.7",0.9
Oaxaca,46.9,16.7,144.3,147.7,111.5,144.6,126.6,110.3,172.8,201.2,235.9,117.6,178.1,353.7,"1,942.6",482.8,297.2,195.5,484.8,487.8,56.6,244.3,-92.6,151.1,0.4,"6,358.1",0.9
Tabasco,32.2,79.6,231.6,201.5,140.3,284.5,158.1,82.4,179.6,135.1,90.4,141.3,233.2,325.5,323.9,241.7,737.5,112.8,400.4,530.3,490.6,464.8,300.4,21.9,0.1,"5,939.4",0.9
Hidalgo,6.7,-85.0,336.1,157.1,98.3,213.6,111.4,194.4,87.1,121.7,111.5,380.3,265.5,178.8,470.0,-66.1,523.7,444.6,349.4,186.5,283.9,278.7,176.3,410.5,1.2,"5,234.9",0.8
Nayarit,40.0,55.0,114.9,105.0,146.9,162.7,146.8,246.5,244.6,155.1,104.0,178.1,147.7,157.3,535.4,105.8,99.0,85.6,103.8,188.6,170.4,782.3,215.0,452,1.3,"4,742.6",0.7
Yucatán,64.1,82.9,229.0,212.4,194.5,184.4,91.2,105.3,193.0,146.1,79.8,94.8,165.5,127.9,516.7,86.1,213.5,125.1,107.8,86.0,159.9,151.7,145.5,535.9,1.5,"4,099.2",0.6
Tlaxcala,55.0,56.0,84.6,134.5,202.2,318.0,194.4,242.2,92.7,123.7,72.2,91.2,251.2,79.5,80.7,120.7,152.5,253.1,168.0,143.1,345.7,359.8,50.8,275.5         0.8,0.8,"3,947.5",0.6
Campeche,30.5,25.3,51.6,190.9,65.7,149.0,129.3,30.4,134.5,150.1,26.2,73.2,24.8,209.7,278.4,218.6,543.0,142.2,328.3,123.5,151.9,204.3,218.4,40.4          0.1,0.1,"3,540.2",0.5
Chiapas,34.0,43.5,199.3,207.6,114.3,232.2,142.1,89.3,186.9,63.2,91.9,157.7,92.8,121.1,182.4,36.6,270.1,139.8,217.1,70.2,256.6,133.1,157.0,186.8         0.5,0.5,"3,425.5",0.5
Colima,31.6,15.9,94.6,65.5,74.7,156.7,52.1,106.5,118.7,187.5,134.9,264.8,154.6,60.5,167.8,195.6,165.3,-24.2,132.2,90.7,41.4,92.1,89.9,96.9         0.3,0.3,"2,566.5",0.4