Clave,Entidad federativa,Total,adminstrativos_apoyo
00,Estados Unidos Mexicanos,221281,34110
01,Aguascalientes,784,46
02,Baja California,950,179
03,Baja California Sur,975,313
04,Campeche,1985,76
05,Coahuila de Zaragoza,2130,342
06,Colima,679,17
07,Chiapas,7017,686
08,Chihuahua,2395,550
09,Ciudad de México,88386,6440
10,Durango,1456,595
11,Guanajuato,4152,0
12,Guerrero,5966,1003
13,Hidalgo,5173,600
14,Jalisco,5818,1847
15,México,20122,3784
16,Michoacán de Ocampo,1414,1347
17,Morelos,1804,85
18,Nayarit,1728,282
19,Nuevo León,7359,1472
20,Oaxaca,8202,1124
21,Puebla,6230,1354
22,Querétaro,1109,354
23,Quintana Roo,2304,587
24,San Luis Potosí,3632,651
25,Sinaloa,1811,259
26,Sonora,1792,697
27,Tabasco,7549,2631
28,Tamaulipas,4684,407
29,Tlaxcala,1890,79
30,Veracruz de Ignacio de la Llave,13683,4590
31,Yucatán,5364,996
32,Zacatecas,2738,717